country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
"Congo, the Democratic Republic of the",CD,COD,180,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
"Congo, the Democratic Republic of the",CD,COD,180,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,33.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
"Congo, the Democratic Republic of the",CD,COD,180,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,23.6,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Denmark,DK,DNK,208,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,50.6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Denmark,DK,DNK,208,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,76.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Denmark,DK,DNK,208,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,63.9,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Djibouti,DJ,DJI,262,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,5.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Djibouti,DJ,DJI,262,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,16.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Djibouti,DJ,DJI,262,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,11,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Dominica,DM,DMA,212,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Dominica,DM,DMA,212,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,42.9,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Dominica,DM,DMA,212,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,31.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Dominican Republic,DO,DOM,214,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,17.5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Dominican Republic,DO,DOM,214,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,40.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Dominican Republic,DO,DOM,214,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,29.1,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ecuador,EC,ECU,218,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ecuador,EC,ECU,218,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,44.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ecuador,EC,ECU,218,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,32.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Egypt,EG,EGY,818,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Egypt,EG,EGY,818,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,2.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Egypt,EG,EGY,818,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,1.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
El Salvador,SV,SLV,222,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,10.6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
El Salvador,SV,SLV,222,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,27.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
El Salvador,SV,SLV,222,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Equatorial Guinea,GQ,GNQ,226,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,45.6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Equatorial Guinea,GQ,GNQ,226,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,72.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Equatorial Guinea,GQ,GNQ,226,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,59.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Eritrea,ER,ERI,232,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Eritrea,ER,ERI,232,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,16.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Eritrea,ER,ERI,232,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,11.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Estonia,EE,EST,233,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,48.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Estonia,EE,EST,233,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,75.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Estonia,EE,EST,233,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,62.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Swaziland,SZ,SWZ,748,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,9.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Swaziland,SZ,SWZ,748,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,25.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Swaziland,SZ,SWZ,748,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,17.6,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ethiopia,ET,ETH,231,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,7.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ethiopia,ET,ETH,231,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,19.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ethiopia,ET,ETH,231,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Fiji,FJ,FJI,242,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Fiji,FJ,FJI,242,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,14.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Fiji,FJ,FJI,242,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,9.9,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Finland,FI,FIN,246,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,48.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Finland,FI,FIN,246,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,74.9,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Finland,FI,FIN,246,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,61.9,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
France,FR,FRA,250,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,52.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
France,FR,FRA,250,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,77.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
France,FR,FRA,250,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,65.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Gabon,GA,GAB,266,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,38.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Gabon,GA,GAB,266,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,66.3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Gabon,GA,GAB,266,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,52.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Gambia,GM,GMB,270,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,8.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Gambia,GM,GMB,270,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,23.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Gambia,GM,GMB,270,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,15.9,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Georgia,GE,GEO,268,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Georgia,GE,GEO,268,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,33,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Georgia,GE,GEO,268,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,23.6,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Germany,DE,DEU,276,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,58.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Germany,DE,DEU,276,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,81.6,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Germany,DE,DEU,276,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,70.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ghana,GH,GHA,288,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,8.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ghana,GH,GHA,288,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,22.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ghana,GH,GHA,288,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,15.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Greece,GR,GRC,300,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,39.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Greece,GR,GRC,300,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,67.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Greece,GR,GRC,300,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,53.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Grenada,GD,GRD,308,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,21.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Grenada,GD,GRD,308,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,47.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Grenada,GD,GRD,308,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,34.9,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guatemala,GT,GTM,320,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,9.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guatemala,GT,GTM,320,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,24.4,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guatemala,GT,GTM,320,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,16.9,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guinea,GN,GIN,324,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,6.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guinea,GN,GIN,324,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,18.3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guinea,GN,GIN,324,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,12.6,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guinea-Bissau,GW,GNB,624,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,9.6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guinea-Bissau,GW,GNB,624,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,24.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guinea-Bissau,GW,GNB,624,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,17.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guyana,GY,GUY,328,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,15.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guyana,GY,GUY,328,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,36.7,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Guyana,GY,GUY,328,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,26.1,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Haiti,HT,HTI,332,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,12.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Haiti,HT,HTI,332,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,31.9,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Haiti,HT,HTI,332,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,22.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Honduras,HN,HND,340,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,10.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Honduras,HN,HND,340,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,26.3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Honduras,HN,HND,340,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,18.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Hungary,HU,HUN,348,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,40.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Hungary,HU,HUN,348,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,68.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Hungary,HU,HUN,348,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,54.6,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Iceland,IS,ISL,352,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,45.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Iceland,IS,ISL,352,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,72.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Iceland,IS,ISL,352,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,59.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
India,IN,IND,356,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,14.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
India,IN,IND,356,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,34.9,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
India,IN,IND,356,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,25.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Indonesia,ID,IDN,360,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,6.8,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Indonesia,ID,IDN,360,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,18.9,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Indonesia,ID,IDN,360,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.1,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
"Iran, Islamic Republic of",IR,IRN,364,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
"Iran, Islamic Republic of",IR,IRN,364,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,2.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
"Iran, Islamic Republic of",IR,IRN,364,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,1.7,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Iraq,IQ,IRQ,368,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Iraq,IQ,IRQ,368,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,2.3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Iraq,IQ,IRQ,368,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,1.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ireland,IE,IRL,372,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,59.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ireland,IE,IRL,372,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,82.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Ireland,IE,IRL,372,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,71.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Israel,IL,ISR,376,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,27.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Israel,IL,ISR,376,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,54.6,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Israel,IL,ISR,376,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,41.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Italy,IT,ITA,380,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,36.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Italy,IT,ITA,380,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,64.5,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Italy,IT,ITA,380,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,50.8,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Jamaica,JM,JAM,388,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,12.9,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Jamaica,JM,JAM,388,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,32,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Jamaica,JM,JAM,388,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,22.7,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Japan,JP,JPN,392,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,31.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Japan,JP,JPN,392,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,59.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Japan,JP,JPN,392,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,45.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Jordan,JO,JOR,400,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.7,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Jordan,JO,JOR,400,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,2.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Jordan,JO,JOR,400,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,1.5,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kazakhstan,KZ,KAZ,398,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,15.5,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kazakhstan,KZ,KAZ,398,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,36.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kazakhstan,KZ,KAZ,398,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,26.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kenya,KE,KEN,404,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,7.4,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kenya,KE,KEN,404,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,20.2,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kenya,KE,KEN,404,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,13.8,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kiribati,KI,KIR,296,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,3.3,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kiribati,KI,KIR,296,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,9.8,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kiribati,KI,KIR,296,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,6.6,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kuwait,KW,KWT,414,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.1,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kuwait,KW,KWT,414,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.3,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kuwait,KW,KWT,414,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,0.2,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kyrgyzstan,KG,KGZ,417,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,8.2,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kyrgyzstan,KG,KGZ,417,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,22.1,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Kyrgyzstan,KG,KGZ,417,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,15.3,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Lao People's Democratic Republic,LA,LAO,418,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,15.6,Female,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Lao People's Democratic Republic,LA,LAO,418,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,37,Male,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
Lao People's Democratic Republic,LA,LAO,418,Percentage of adolescents (aged 15-19 years) who had at least one alcoholic drink at any time during the last 12 months,2016,26.4,Total,Units,%,Estimated value,Free,End of fieldwork,15 to 19 years old
